ats_id,year,offers_hosted_pool,custom_order_types,market_data_feed_available,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,display_to_persons,subscriber_opt_out_capability,supports_iois,supports_midpoint_orders,supports_post_only_orders,segmentation_supported
BIDS,2020,1,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,1
BIDS,2021,1,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,1
BIDS,2022,1,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,1
BIDS,2023,1,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,1
BIDS,2024,1,1,1,1,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,1
BIDS,2025,1,1,1,1,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,1
EBXL,2020,0,0,1,0,1,0,1,Yes — Subscriber can opt out of affiliates but not ATS operator,Yes — terms and conditions are uniform,0,1,1
EBXL,2021,0,1,1,0,1,0,1,Yes — Subscriber can opt out of affiliates but not ATS operator,Yes — terms and conditions are uniform,0,1,1
EBXL,2022,0,0,0,,,,,,Unclear — terms and conditions are not uniform,0,0,
INCR,2020,0,1,1,0,0,0,1,No — Subscriber cannot opt out from either,No — terms and conditions are not uniform,0,1,0
INCR,2021,1,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
INCR,2022,1,1,1,0,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,0,1,0
INCR,2023,1,1,1,1,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,0
INCR,2024,1,1,1,1,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,0
INCR,2025,1,1,1,1,0,0,1,No — Subscriber cannot opt out from either,Yes — terms and conditions are uniform,1,1,0
