ats_id,year,offers_hosted_pool,subscriber_opt_out_capability,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,segmentation_supported,segmentation_customer_flag,segmentation_disclosed,segmentation_uniform,market_data_feed_available,display_to_persons,display_procedures_uniform,supports_iois,custom_order_types,ecn_status,order_type_complexity
INCR,2023,1,0.0,1.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,3
INCR,2024,1,0.0,1.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,5
LATS,2022,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,5
MLIX,2020,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,4
MLIX,2022,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,5
MLIX,2023,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,5
MLIX,2024,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,6
MLIX,2025,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,6
PURE,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
XSTM,2025,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,2
BIDS,2020,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5
BIDS,2021,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5
BIDS,2022,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5
BIDS,2023,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5
BIDS,2024,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5
BIDS,2025,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1,0.0,5
EBXL,2020,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0,0.0,2
EBXL,2021,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,3
EBXL,2022,0,,,,,,,,,0,,,,0,,0
INCR,2020,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,0.0,1,0.0,2
INCR,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
INCR,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
INCR,2025,1,0.0,1.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,5
ITGP,2020,0,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,0,0.0,5
ITGP,2021,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,0.0,2
ITGP,2022,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,3
ITGP,2023,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,0.0,2
ITGP,2024,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,3
ITGP,2025,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,0.0,2
JBPX,2020,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
JBPX,2021,0,,,,,,,,,0,,,,0,,0
JBPX,2022,0,,,,,,,,,0,,,,0,,0
JBPX,2023,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
JBPX,2024,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,3
JBPX,2025,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
JPMX,2020,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
JPMX,2021,0,,,,,,,,,0,,,,0,,0
JPMX,2022,0,,,,,,,,,0,,,,0,,0
JPMX,2023,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
JPMX,2024,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,3
JPMX,2025,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
KCGM,2020,0,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,0,0.0,5
KCGM,2021,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,0.0,2
KCGM,2022,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,3
KCGM,2023,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,0.0,2
KCGM,2024,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,3
KCGM,2025,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1,0.0,2
LATS,2020,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,2
LATS,2021,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,2
LATS,2023,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,5
LATS,2024,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,5
LATS,2025,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,3
MSPL,2020,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0,0.0,2
MSPL,2021,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0,0.0,1
MSPL,2022,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0,0.0,2
MSPL,2023,0,1.0,1.0,1.0,0.0,0.0,1.0,,,1,1.0,1.0,1.0,0,0.0,3
MSPL,2024,0,1.0,1.0,1.0,0.0,0.0,1.0,,,1,1.0,1.0,1.0,0,0.0,3
MSPL,2025,0,1.0,1.0,1.0,0.0,0.0,1.0,,,1,1.0,1.0,1.0,0,0.0,3
MSTX,2020,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0,0.0,2
MSTX,2021,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0,0.0,1
MSTX,2022,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0,0.0,2
MSTX,2023,0,1.0,1.0,1.0,0.0,0.0,1.0,,,1,1.0,1.0,1.0,0,0.0,3
MSTX,2024,0,1.0,1.0,1.0,0.0,0.0,1.0,,,1,1.0,1.0,1.0,0,0.0,3
MSTX,2025,0,1.0,1.0,1.0,0.0,0.0,1.0,,,1,1.0,1.0,1.0,0,0.0,3
PURE,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
PURE,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
PURE,2023,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
PURE,2024,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2
SGMT,2020,0,,,,,,,,,0,,,,0,,0
SGMT,2021,0,,,,,,,,,0,,,,0,,0
SGMT,2022,0,,,,,,,,,0,,,,0,,0
SGMT,2023,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
SGMT,2024,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
SGMT,2025,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,5
UBSA,2020,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,2
UBSA,2021,0,,,,,,,,,0,,,,0,,0
UBSA,2022,0,,,,,,,,,0,,,,0,,0
UBSA,2023,0,,,,,,,,,0,,,,0,,0
UBSA,2024,0,,,,,,,,,0,,,,0,,0
UBSA,2025,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,2
XSTM,2021,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,2
XSTM,2022,0,,,,,,,,,0,,,,0,,0
