ats_id,year,offers_hosted_pool,subscriber_opt_out_capability,internal_trading_allowed,affiliate_access_to_ats,routing_to_affiliate_venue,segmentation_supported,segmentation_customer_flag,segmentation_disclosed,segmentation_uniform,market_data_feed_available,display_to_persons,display_procedures_uniform,supports_iois,custom_order_types,ecn_status,order_type_complexity,trading_access_summary,data_segmentation_practices,custom_order_types_list,unrecognised_custom_orders
INCR,2023,1,0.0,1.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,3,ATS operator’s business units can trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPT, ALL, ALO, ANY, ARE, ASPEN., ATS., BAND., BOOK., CANCELLATION, CONDITIONAL, DESIGNATE, GIVEN, III., INCLUDING, INCOMING, INSTRUCTIONS., IOC, IOIS., IV., MARKETABLE, MATCH, MATCHES, NON-DISPLAYED, OCCURS., ONLY, OPEN, POST-ONLY, PRE-MARKET, REMAINING, SEQUENTIAL, SLIDING, THAT, TIME, displayed, limit, market, midpoint, post_only, post_only, post_only, primary_peg","CONDITIONAL, REMAINING, ONLY, MATCHES, IOC, NON-DISPLAYED, INCOMING, ASPEN., IOIS., ATS., BAND., IV., PRE-MARKET, MATCH, MARKETABLE, BOOK., SLIDING, ANY, ACCEPT, OPEN, CANCELLATION, III., GIVEN, THAT, ALL, POST-ONLY, INCLUDING, INSTRUCTIONS., DESIGNATE, OCCURS., ALO, TIME, ARE, SEQUENTIAL"
INCR,2024,1,0.0,1.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,5,ATS operator’s business units can trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ACCEPT, ALL, ALO, ANY, ARE, ASPEN., BOOK., CANCELLATION, CORRECTED., CRITERIA., DESIGNATE, EXPECTED, GIVEN, III., INCOMING, IOC, IV., MARKETABLE, MATCH, MATCHES, MAXIMUM, MINIMUM, MORE, OCCURS., ONLY, OPEN, OPPOSING, POST-ONLY, REMAINING, SEQUENTIAL, SLIDING, THAT, THOSE, TIME, TWO, WITH, conditional, displayed, limit, market, midpoint, post_only, post_only, post_only, primary_peg, vwap","TWO, REMAINING, ONLY, MATCHES, IOC, INCOMING, ASPEN., WITH, MAXIMUM, OPPOSING, MORE, IV., CRITERIA., CORRECTED., MARKETABLE, BOOK., SLIDING, ANY, ARE, ACCEPT, OPEN, CANCELLATION, III., GIVEN, EXPECTED, ALL, POST-ONLY, THAT, THOSE, DESIGNATE, OCCURS., ALO, TIME, MINIMUM, MATCH, SEQUENTIAL"
LATS,2022,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,0,0.0,5,ATS operator’s business units are not allowed to trade on the ATS. Affiliates can also send orders into the ATS. ATS can route orders to affiliated venues.,"Since implementation of Conditional functionality, Luminex has been educating Subscribers and their traders on its expectations regarding how traders should conduct their trading on the ATS (e.g., discouraging fall downs, which occur when a trader is presented with a match and either actively declines the opportunity to trade or allows the invitation to timeout without accepting the opportunity to…","ALGO/SMART, ALL, ARE, ASSUMING, ATS, CONDITIONAL., ELIGIBLE, EXECUTABLE, III., INTEREST., IV., LARGE, LEVEL, LEVELUP, MATCH., MINIMUM, NEW, POST-ONLY, PRIORITIZES, RE-SEND, RELATED, ROUTE, ROUTED, ROUTER., SELECT, SIDE, SLIDING, SUBSCRIBER, THAT, THEIR, TOTAL, UNEXECUTED, conditional, market_peg, midpoint, post_only, primary_peg","SUBSCRIBER, RE-SEND, INTEREST., LEVELUP, LARGE, ASSUMING, SELECT, ROUTE, PRIORITIZES, IV., ALGO/SMART, RELATED, ATS, SLIDING, EXECUTABLE, MATCH., SIDE, THEIR, III., THAT, ALL, POST-ONLY, CONDITIONAL., TOTAL, ELIGIBLE, LEVEL, NEW, UNEXECUTED, ROUTED, MINIMUM, ARE, ROUTER."
MLIX,2020,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,4,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"All Subscribers are assigned a segment classification when approved to access Instinct X. BofAS assigns Direct Subscribers a segment classification based upon an initial review of a Due Diligence Questionnaire (as described in Part III, Item 2) by the ATS Working Group prior to permitting a Direct Subscriber to trade in Instinct X. The ATS Working Group will consider the quantitative and qualitati…","ACCEPTABLE, ACCEPTS, ALL, ANY, EXECUTED, III., IV., NEW, PARTICULAR, POST-ONLY, PRINCIPAL, QUANTITY., ROUTE, SIDE, SLIDING, SUBSCRIBER, THEIR, UPDATES, market_peg, midpoint, post_only, primary_peg","QUANTITY., III., SIDE, SUBSCRIBER, THEIR, ALL, POST-ONLY, SLIDING, ANY, ROUTE, UPDATES, IV., NEW, ACCEPTABLE, PARTICULAR, PRINCIPAL, ACCEPTS, EXECUTED"
MLIX,2022,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,5,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"BofAS assigns all Subscribers a segment classification. SEGMENT CLASSIFICATIONS All Subscriber orders and conditional placements entered into Instinct X are associated with one of the following segment classifications: (1) BofAS RETAIL -- This segment consists only of MLPFS order flow; (2) INSTITUTIONAL -- This segment consists of orders from or on behalf of BofAS business units, BANA, MLI, BofAS …","ACCEPTABLE, ACCEPTS, ALL, ANY, ARE, ASSUMING, ATS, BOTH, DISCUSS, EITHER, EXECUTED, HOW, III., INCOMING, IOC, IV., LATER-IN-TIME, NEW, ONLY, OVER, PARTICULAR, PLACEMENT-ELIGIBLE, POST-ONLY, PREEXISTING, PREVENTS, RESTING, ROUTE, SENT., SLIDING, THEIR, UPDATES, conditional, market_peg, midpoint, post_only, primary_peg","ONLY, UPDATES, IOC, INCOMING, ACCEPTABLE, EITHER, ACCEPTS, ASSUMING, RESTING, ROUTE, HOW, IV., OVER, EXECUTED, ATS, SLIDING, LATER-IN-TIME, ANY, SENT., DISCUSS, BOTH, PREVENTS, THEIR, III., ALL, POST-ONLY, NEW, PARTICULAR, PLACEMENT-ELIGIBLE, PREEXISTING, ARE"
MLIX,2023,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,5,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"BofAS assigns all Subscribers a segment classification. SEGMENT CLASSIFICATIONS All Subscriber orders and conditional placements entered into Instinct X are associated with one of the following segment classifications: (1) BofAS RETAIL -- This segment consists only of MLPFS order flow; (2) INSTITUTIONAL -- This segment consists of orders from or on behalf of BofAS business units, BANA, MLI, BofAS …","ACCEPTABLE, ACCEPTS, ALL, ANY, ARE, ASSUMING, ATS, BOTH, DISCUSS, EITHER, EXECUTED, HOW, III., INCOMING, IOC, IV., IXCC, LATER-IN-TIME, NEW, NON-IXCC, ONLY, OVER, PARTICULAR, PLACEMENT-ELIGIBLE, POST-ONLY, PREEXISTING, PREVENTS, RESTING, ROUTE, SENT., SLIDING, THEIR, UPDATES, conditional, market_peg, midpoint, post_only, primary_peg","ONLY, UPDATES, PARTICULAR, IOC, INCOMING, ACCEPTABLE, EITHER, ACCEPTS, ASSUMING, RESTING, ROUTE, HOW, IV., OVER, EXECUTED, ATS, SLIDING, LATER-IN-TIME, ANY, IXCC, SENT., DISCUSS, BOTH, PREVENTS, THEIR, III., ALL, POST-ONLY, NEW, NON-IXCC, PLACEMENT-ELIGIBLE, PREEXISTING, ARE"
MLIX,2024,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,6,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"BofAS assigns all Subscribers a segment classification. SEGMENT CLASSIFICATIONS All Subscriber orders and conditional placements entered into Instinct X are associated with one of the following segment classifications: (1) BofAS RETAIL -- This segment consists only of MLPFS order flow; (2) INSTITUTIONAL -- This segment consists of orders from or on behalf of BofAS business units, BANA, MLI, BofAS …","000-SHARE, ABOVE-DESCRIBED, ACCEPTABLE, ACCEPTS, AGAINST, ALL, ANY, ARE, ASSUMING, ATS, BOTH, DFO, DISCUSS, DMO, DPO, EITHER, ELIGIBLE, EXECUTE, EXECUTED, FAR-TOUCH, FLEXIBLE, HOW, III., INCOMING, IOC, IV., IXCC, LATER-IN-TIME, NEW, NON-DISCRETIONARY, NON-IXCC, NON-TRAJECTORY, ONLY, OVER, PARTICULAR, PASSIVE, PLACEMENT-ELIGIBLE, POST-ONLY, PREEXISTING, PREVENTS, RESTING, ROUTE, SENT., SHARE, SLIDING, THEIR, TRAJECTORY, UPDATES, conditional, discretionary, limit, market_peg, midpoint, post_only, primary_peg, vwap","TRAJECTORY, DFO, ONLY, SHARE, UPDATES, PARTICULAR, IOC, FLEXIBLE, FAR-TOUCH, INCOMING, ACCEPTABLE, EITHER, ACCEPTS, DMO, NON-DISCRETIONARY, ASSUMING, RESTING, EXECUTE, ROUTE, HOW, IV., OVER, EXECUTED, ATS, AGAINST, LATER-IN-TIME, SLIDING, ANY, IXCC, SENT., 000-SHARE, DISCUSS, BOTH, PREVENTS, ABOVE-DESCRIBED, THEIR, III., DPO, ALL, POST-ONLY, PREEXISTING, ELIGIBLE, NEW, NON-IXCC, PLACEMENT-ELIGIBLE, NON-TRAJECTORY, ARE, PASSIVE"
MLIX,2025,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,6,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"BofAS assigns all Subscribers a segment classification. SEGMENT CLASSIFICATIONS All Subscriber orders and conditional placements entered into Instinct X are associated with one of the following segment classifications: (1) BofAS RETAIL -- This segment consists only of MLPFS order flow; (2) INSTITUTIONAL -- This segment consists of orders from or on behalf of BofAS business units, BANA, MLI, BofAS …","000-SHARE, ABOVE-DESCRIBED, ACCEPTABLE, ACCEPTS, AGAINST, ALL, ANY, ARE, ASSUMING, ATS, BOTH, DFO, DISCUSS, DMO, DPO, EITHER, ELIGIBLE, EXECUTE, EXECUTED, FAR-TOUCH, FLEXIBLE, HOW, III., INCOMING, IOC, IV., IXCC, LATER-IN-TIME, NEW, NON-DISCRETIONARY, NON-IXCC, NON-TRAJECTORY, ONLY, OVER, PARTICULAR, PASSIVE, PLACEMENT-ELIGIBLE, POST-ONLY, PREEXISTING, PREVENTS, RESTING, ROUTE, SENT., SHARE, SLIDING, THEIR, TRAJECTORY, UPDATES, conditional, discretionary, limit, market_peg, midpoint, post_only, primary_peg, vwap","TRAJECTORY, DFO, ONLY, SHARE, UPDATES, PARTICULAR, IOC, FLEXIBLE, FAR-TOUCH, INCOMING, ACCEPTABLE, EITHER, ACCEPTS, DMO, NON-DISCRETIONARY, ASSUMING, RESTING, EXECUTE, ROUTE, HOW, IV., OVER, EXECUTED, ATS, AGAINST, LATER-IN-TIME, SLIDING, ANY, IXCC, SENT., 000-SHARE, DISCUSS, BOTH, PREVENTS, ABOVE-DESCRIBED, THEIR, III., DPO, ALL, POST-ONLY, PREEXISTING, ELIGIBLE, NEW, NON-IXCC, PLACEMENT-ELIGIBLE, NON-TRAJECTORY, ARE, PASSIVE"
PURE,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1.0,1.0,1.0,1,0.0,2,ATS operator’s business units are not allowed to trade on the ATS. Affiliates are not allowed to send orders into the ATS. ATS cannot route orders to affiliated venues.,No narrative provided,"ADDITIONAL, ALL, ANY, ASSUMES, ATS, ATS-N., BECAUSE, BLOCK, BOTH, COMPATIBLE, CUSTOM, DECREMENTED, HOW, III., INTRA-, ITS, IV., LIKE, LTR., MATCH, MATCHED, ONCE, ONE, OVER, POST-ONLY, RANK, REFERENCE-ON-CLOSE, RELEVANT, ROC, SAME, SEEKING, SINCE, SLIDING, SUBSCRIBER, THAN, THAT, THIS, TIME, TWO, TYPE., WITH, conditional, post_only","SUBSCRIBER, ITS, TWO, LIKE, SINCE, ONCE, WITH, THAN, ROC, REFERENCE-ON-CLOSE, HOW, IV., ONE, RANK, OVER, SAME, ATS, BECAUSE, SLIDING, MATCHED, ANY, BLOCK, ASSUMES, ATS-N., THIS, INTRA-, SEEKING, COMPATIBLE, BOTH, III., THAT, DECREMENTED, ALL, POST-ONLY, LTR., ADDITIONAL, RELEVANT, TIME, CUSTOM, MATCH, TYPE."
XSTM,2025,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,1.0,1.0,1,0.0,2,ATS operator’s business units can trade on the ATS. Affiliates can also send orders into the ATS. ATS cannot route orders to affiliated venues.,"The Firm provides certain default Counterparty Groups (""Default Counterparty Groups""), including: Orders submitted to the ATS only by NFS' primary automated routing system, FBSI (or any successor system) (""Channel SOR Orders""). Orders submitted by non-NFS broker-dealers who are subscribers to the system (includes orders marked as ""agent"" or ""principal"") (""Broker-Dealer Subscribers""). NFS orders ma…","20.01., 20.02., ACCEPTS, ALL, ALO, ANY, ARE, ATS, ATS., BOTH, COMPETING, CROSS, DISCRETIONARY, DISPLAY, EFFECT., ELIGIBLE, FIRM-UP, GIVEN, III., INCOMING, IOC, IV., LIQUIDITY., MORE, NBBO., NFS, ONLY, ORDER., PEG, POST-ONLY, PRICED, PRIORITIZES, PWAP., SELL., SIDE, SLIDING, THAT, THEN, TWO, UNPRICED, WHERE, conditional, conditional, limit, post_only, post_only, post_only","EFFECT., TWO, ONLY, 20.02., PRICED, IOC, INCOMING, 20.01., UNPRICED, ACCEPTS, DISCRETIONARY, ORDER., NBBO., ATS., SELL., MORE, NFS, PRIORITIZES, IV., THEN, COMPETING, PEG, ATS, WHERE, LIQUIDITY., SLIDING, ANY, BOTH, FIRM-UP, SIDE, DISPLAY, III., GIVEN, THAT, ALL, POST-ONLY, ELIGIBLE, PWAP., ALO, CROSS, ARE"
