MPID,weekStartDate,shares
UBSA,2020-05-18,36010782
INCR,2020-05-18,32840643
SGMT,2020-05-18,31954098
JPMX,2020-05-18,20287710
MSPL,2020-05-18,19731400
MLIX,2020-05-18,16370020
EBXL,2020-05-18,13635285
LATS,2020-05-18,10838164
BIDS,2020-05-18,7861305
KCGM,2020-05-18,7701787
MSTX,2020-05-18,7164500
XSTM,2020-05-18,5609693
ITGP,2020-05-18,3772402
PURE,2020-05-18,3733466
JPBX,2020-05-18,3726309
IATS,2020-05-18,3661321
MSRP,2020-05-18,3383669
LQNA,2020-05-18,2669200
ICBX,2020-05-18,2334361
BLKX,2020-05-18,2199790
ONEC,2020-05-18,2010081
CGXS,2020-05-18,1577751
BNPX,2020-05-18,1335515
CODA,2020-05-18,560306
BLUE,2020-05-18,510577
LQNT,2020-05-18,340900
LMNX,2020-05-18,147814
STFX,2020-05-18,7425
IEOS,2020-05-18,1649
UBSA,2020-05-25,36010782
INCR,2020-05-25,32840643
SGMT,2020-05-25,31954098
JPMX,2020-05-25,20287710
MSPL,2020-05-25,19731400
MLIX,2020-05-25,16370020
EBXL,2020-05-25,13635285
LATS,2020-05-25,10838164
BIDS,2020-05-25,7861305
KCGM,2020-05-25,7701787
MSTX,2020-05-25,7164500
XSTM,2020-05-25,5609693
ITGP,2020-05-25,3772402
PURE,2020-05-25,3733466
JPBX,2020-05-25,3726309
IATS,2020-05-25,3661321
MSRP,2020-05-25,3383669
LQNA,2020-05-25,2669200
ICBX,2020-05-25,2334361
BLKX,2020-05-25,2199790
ONEC,2020-05-25,2010081
CGXS,2020-05-25,1577751
BNPX,2020-05-25,1335515
CODA,2020-05-25,560306
BLUE,2020-05-25,510577
LQNT,2020-05-25,340900
LMNX,2020-05-25,147814
STFX,2020-05-25,7425
IEOS,2020-05-25,1649
UBSA,2020-06-01,36010782
INCR,2020-06-01,32840643
SGMT,2020-06-01,31954098
JPMX,2020-06-01,20287710
MSPL,2020-06-01,19731400
MLIX,2020-06-01,16370020
EBXL,2020-06-01,13635285
LATS,2020-06-01,10838164
BIDS,2020-06-01,7861305
KCGM,2020-06-01,7701787
MSTX,2020-06-01,7164500
XSTM,2020-06-01,5609693
ITGP,2020-06-01,3772402
PURE,2020-06-01,3733466
JPBX,2020-06-01,3726309
IATS,2020-06-01,3661321
MSRP,2020-06-01,3383669
LQNA,2020-06-01,2669200
ICBX,2020-06-01,2334361
BLKX,2020-06-01,2199790
ONEC,2020-06-01,2010081
CGXS,2020-06-01,1577751
BNPX,2020-06-01,1335515
CODA,2020-06-01,560306
BLUE,2020-06-01,510577
LQNT,2020-06-01,340900
LMNX,2020-06-01,147814
STFX,2020-06-01,7425
IEOS,2020-06-01,1649
UBSA,2020-06-08,36010782
INCR,2020-06-08,32840643
SGMT,2020-06-08,31954098
JPMX,2020-06-08,20287710
MSPL,2020-06-08,19731400
MLIX,2020-06-08,16370020
EBXL,2020-06-08,13635285
LATS,2020-06-08,10838164
BIDS,2020-06-08,7861305
KCGM,2020-06-08,7701787
MSTX,2020-06-08,7164500
XSTM,2020-06-08,5609693
ITGP,2020-06-08,3772402
PURE,2020-06-08,3733466
JPBX,2020-06-08,3726309
IATS,2020-06-08,3661321
MSRP,2020-06-08,3383669
LQNA,2020-06-08,2669200
ICBX,2020-06-08,2334361
BLKX,2020-06-08,2199790
ONEC,2020-06-08,2010081
CGXS,2020-06-08,1577751
BNPX,2020-06-08,1335515
CODA,2020-06-08,560306
BLUE,2020-06-08,510577
LQNT,2020-06-08,340900
LMNX,2020-06-08,147814
STFX,2020-06-08,7425
IEOS,2020-06-08,1649
UBSA,2020-06-15,36010782
INCR,2020-06-15,32840643
SGMT,2020-06-15,31954098
JPMX,2020-06-15,20287710
MSPL,2020-06-15,19731400
MLIX,2020-06-15,16370020
EBXL,2020-06-15,13635285
LATS,2020-06-15,10838164
BIDS,2020-06-15,7861305
KCGM,2020-06-15,7701787
MSTX,2020-06-15,7164500
XSTM,2020-06-15,5609693
ITGP,2020-06-15,3772402
PURE,2020-06-15,3733466
